chr	begin	end	GSE39312_H9_TAF11.bed	H9cells_H3K23me2_broad_peaks.bed	H9_baker_Smad3_peaks.bed	GSE39312_H9_POL2.bed	H9cells_H3K56ac_broad_peaks.bed	H9_baker_Smad2_3G_peaks.bed	H9_hESC_FAIREseq_broad_peaks.bed	H9cells_H2BK15ac_broad_peaks.bed	Intersected_GSM768310_FOXP1_H9_peaks.bed	GSE39312_H9_TAF7.bed	GSE39312_H9_TAF5.bed	H9cells_H3K18ac_broad_peaks.bed	H9cells_H3K4me2_broad_peaks.bed	H9cells_H3K4me1_broad_peaks.bed	H9cells_H2AK5ac_broad_peaks.bed	H9cells_H3K9ac_broad_peaks.bed	H9cells_H3K4me3_broad_peaks.bed_reordered_features.bed	H9_K79me2_pooled_broad_peaks.bed	GSE39312_H9_TAF3.bed	H9cells_H4K91ac_broad_peaks.bed	H9cells_H3K36me3_broad_peaks.bed	H9cells_H3K79me1_broad_peaks.bed	H9cells_H3K9me3_broad_peaks.bed	H9cells_H4K8ac_broad_peaks.bed	H9cells_H3K4ac_broad_peaks.bed	H9cells_H2BK5ac_broad_peaks.bed	H9_baker_Foxh1_peaks.bed	H9cells_H2BK12ac_broad_peaks.bed	H9cells_H3K27me3_broad_peaks.bed	H9cells_H4K5ac_broad_peaks.bed	H9_baker_Smad4_peaks.bed	GSE39312_H9_TBP.bed
chr1	564611	570154	0.0	0.993685729749	0.0	0.0	0.995670214685	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.749233267184	0.0	0.0	0.19898971676	0.0	0.0	0.0	0.0	0.0
chr1	948563	949263	0.478571428571	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0914285714286	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
chr1	1265325	1265687	0.668508287293	1.0	0.0	0.337016574586	0.0	0.0	0.0	0.0	0.0	0.135359116022	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.337016574586	0.0	0.997237569061	0.914364640884	0.947513812155	0.878453038674	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.92817679558
chr1	1509564	1510727	0.0	0.370593293207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.346517626827	0.0	1.0	0.0	1.0	0.800515907137	0.0	1.0	1.0	0.0	0.993121238177	0.0	1.0	0.0	0.0
chr1	1550897	1551135	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.974789915966	0.0	0.0	0.0	0.0	0.96218487395	1.0	0.0	1.0	0.0	0.0	0.0	0.0
chr1	1589786	1590998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.956270627063	1.0	0.0	0.023102310231	1.0	1.0	0.179867986799	0.0	0.908415841584	0.0	0.421617161716	0.0	0.0	0.0	0.961221122112	0.0	1.0	0.0	0.940594059406	0.0	0.0
chr1	1624096	1624705	1.0	0.0	0.0	1.0	0.0	0.571428571429	0.0	0.0	0.0	0.0	0.586206896552	1.0	1.0	0.0	0.0	0.72249589491	1.0	0.0	0.765188834154	0.653530377668	0.0	0.0	0.0	0.0	0.0	0.758620689655	0.0	1.0	0.0	0.0	0.960591133005	0.766830870279
chr1	1655379	1656175	0.586683417085	0.0	0.0	0.192211055276	0.0	0.0	0.461055276382	0.0	0.625628140704	0.483668341709	0.690954773869	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.589195979899	0.0	0.0	0.275125628141	0.0	0.0	0.368090452261	0.824120603015	0.0	0.0	0.0	0.0	0.0	0.0
chr1	1677191	1677955	0.0	1.0	0.0	1.0	0.0	0.612565445026	0.0	0.0	0.0	0.0	0.819371727749	1.0	1.0	0.0	0.0	0.795811518325	1.0	0.0	1.0	0.866492146597	0.0	0.0	0.0	0.0	0.964659685864	0.86387434555	0.0	0.0	0.0	0.0	0.791884816754	0.501308900524
chr1	1709558	1712102	0.0	1.0	0.0	0.100235849057	0.0	0.0	0.0931603773585	0.616352201258	0.0	0.0	0.137185534591	1.0	0.987028301887	0.559355345912	0.373820754717	0.775943396226	0.920990566038	0.0	0.0	0.651336477987	0.0	0.00196540880503	0.0	0.0	0.641509433962	0.822720125786	0.0	1.0	0.0	0.0	0.0	0.0
chr1	1981191	1981488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.777777777778	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.969696969697	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.969696969697
chr1	2143598	2144854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.989649681529	0.0	0.0	0.0	1.0	0.906050955414	0.18949044586	0.0	0.878184713376	0.762738853503	0.0	0.0	1.0	0.0	0.286624203822	0.0	0.0	1.0	0.983280254777	0.0	1.0	0.0	1.0	0.0	0.0
chr1	2179154	2180211	0.0	0.0	0.189214758751	0.0	0.0	0.0	0.0	1.0	0.38032166509	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
chr1	2208692	2210838	0.0	0.820130475303	0.0	0.0	0.0	0.0	0.0	0.820130475303	0.0	0.0	0.0	1.0	0.815004659832	1.0	1.0	0.0	0.0	0.659832246039	0.0	1.0	0.214352283318	1.0	0.0	0.647250698975	1.0	1.0	0.0	1.0	0.0	0.789375582479	0.0	0.0
chr1	3387015	3388482	0.0	0.807089297887	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.980231765508	0.0	0.0	0.0	0.0	0.0	1.0	0.26448534424	0.0	0.0	0.528289025222	1.0	1.0	0.0	0.948193592365	0.0	1.0	0.0	0.0
chr1	3502390	3502835	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.211235955056	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
chr1	3709798	3711066	0.0	0.0	0.0	0.0	0.0	0.0	0.265772870662	0.0	0.0	0.0	0.0	1.0	1.0	0.044952681388	1.0	0.877760252366	1.0	0.0	0.0	0.389589905363	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	3816261	3817410	0.0426457789382	1.0	0.0	0.0	0.0	0.179286335944	0.0	1.0	0.0	0.543080939948	0.227154046997	1.0	1.0	0.0	0.0	1.0	1.0	0.0226283724978	0.458659704091	1.0	0.0	0.116623150566	0.0	0.0	1.0	1.0	0.0	0.934725848564	0.0	0.90861618799	0.0	0.435161009574
chr1	4707197	4707757	0.0	1.0	0.0	0.0	0.980357142857	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
chr1	6298376	6299542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.299313893654	0.0	0.750428816467	1.0	0.945969125214	0.893653516295	0.983704974271	0.193825042882	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
chr1	6453624	6454354	0.0	0.376712328767	0.0	0.191780821918	0.0	0.0	0.0	0.0	0.0	0.0	0.634246575342	1.0	1.0	0.27397260274	0.0	1.0	1.0	0.0	0.38904109589	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.891780821918	0.0	0.0	0.0	0.234246575342
chr1	6662796	6664371	0.0	0.0107936507937	0.0	0.0	0.0	0.0	0.0	0.655873015873	0.0	0.0	0.16	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0
